otsikko,teksti,tahdet,url,kieli
"Ströme vedenkeitin, musta",Sopii hyvin pieneen keittiööni. Nätin näköinen. Toimii hyvin.,5,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
Edullinen perusvedenkeitin,"Täytenä hieman hidas, mutta edullinen ja hyvä laite!",4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
Ajaa asiansa,"Edullinen, toimii ja positiivisesti poikkeaa halpistuotteista ulkonäöllisesti",5,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
Musta vedenkeitin,Kevyt ja näppärä käyttää. Kaunis ulkonäkö ilo silmälle.,5,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
Vedenkeitin,"Hinta / laatusuhde ok. Toimii, niin kun pitääkin. Tehon säätöähän näissä halvoissa ei ole...",3,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
Ihan ok,Mielestäni ihan hyvä vedenkeitin hintaansa nähden. Ulkonäkökin ihan ok.,4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
Vedenkeitin,Hyvä vedenkeitin. Hieman hiljaisempi voisi olla. Hinta-laatu suhde kohdillaan.,4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
Toimiva vedenkeitin,Hoitaa hommansa. Hyvä hinta-laatu -suhde. Mukavan näköinen.,4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
Toimii,"Vedenkeitin toimii kuten pitääkin. Hyvä hinta-laatusuhde, en odottanut ihmeitä.",4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
Rahansa arvoinen ostos,"Tarjoushinnalla oikein kelpo laite. Väriksi halusin mustaa, lisäplussaa olisi tullut mattapintaisesta väristä ja hillitymmästä ulkoasusta.",4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi
