"otsikko","teksti","tahdet","url","kieli"
"placeholder","Skumppakuulat ovat mielestäni parempia kuin esim. Vihreät kuulat, sillä ne eivät ole ihan niin ylimakeita. Ne ovat itsenään syötyinä ihan okei, suht miellyttävän makuisia. Mutta jos ne vinkkien mukaan laittaa kuoharilasiin, niiden sokeri saa kuohuviinin maistumaan halvalta ja keinotekoiselta (olen koittanut niitä sekä halvemmassa että kalliimmassa kuohuviinissä)","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Minulla oli luultavasti liian korkeat odotukset, pallot eivät olleet minua varten. En ole kokeillut vinkkiä pakastaa ne ja laittaa ne samppanjalasiin, mutta en näe, miten se tekisi mitään muuta kuin pilaisi samppanjan.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Kunpa siinä olisi lukenut ruotsiksi ""skumpakulor"" suomen sijaan! Koska aioin käyttää niitä ""lähtijälahjana"" (Ruotsissa), se olisi tuntunut juhlavammalta. Pallojen maku on ihan ok!","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Eivät maistuneet oikein miltään. Olisivat ehkä toimineet jääpaloina.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Ei valitettavasti niin huomattava samppanjan maku","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Nouto tosi kurja paikka Redi, nimittäin asun Kulosaaressa.Tilauksen saapumisilmoitus ruotsia ja mä olen suomenkielinen. Aina luulen, että se on huijausviesti.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Vaahdon maku. Rusto.","2","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Tarpeettoman kova","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","maistuu seljanmarjalta eikä vaahdolta","2","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Luulin että nämä edelleen ""harvinaisia"" ja tilasin. Nyt niitä kuitenkin onkin lähikaupassa edullisempaan hintaan ja ilman postikuluja.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Valitettavasti ei minun makuuni","2","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Vähän jäi ärsyttämään, kun ruokakaupasta olisi samaan rahaan saanut 3 rasiaa. Nyt toimituskuluineen oli 2 rasiaa maksoi saman verran.","2","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Olivat jäsenille ennakko, mutta samanapäivänä k-citymarketissa niitä myytiin. Hintakin oli 0,85e edullisempi. Huijattu olo!","2","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Hieman yliarvostettu mielestäni.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Olin innoissani tuotteesta, koska glögikuula oli superhyvä. Skumppakuula on kyllä vähän liian makea :(","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Maistuivat hyvälle,  mutta en kokenut että viilentävät juomaa mitenkään vaikka pakastin kuulat.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Paljon puhuttu mutta en ollut oikein ihastunut tuotteeseen.Maistuu varmaan marmeladin ystäville.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Liian söpö vaimoni mielestä!","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Luulin, että yllätän vaimon niillä, mutt samaan aikaan ne jo tulivatkin kauppoihin, harmi.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","En ole näitä maistanut koska menivät lahjoiksi.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Kallista Fazerilla. Lähimarketit myy vastaavaa tuotetta huomattavasta halvemmalla!","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Tuote oli teillä paljon kalliimpi kuin jos olisin ostanut tavallisesta kaupasta.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Kaikki muuten hyvin, rasiat olivat vain vähän kurtussa. Tuote kuitenkin ihana.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Luulen, että tämä on parhaimmillaan jäädytettynä skumppalasissa kellumassa 😁","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","vielä en ole maistanut, ostin lahjaksi Hinta oli korkeampi kuin kaupassa!","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Todella makeita, eikä yhden jälkeen tee mieli toista syödä. Maku OK...","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Olisi voinut olla enemmän makua","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Oli kuin sokerissa uitettua lämmintä valkoviiniä, en osta uudellee","2","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Skumppakuulat testissä. Eivät vaan olleet Miun suun mukaisia.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Ei vaan ollut mun juttu, mutta nimi kuulosti kivalta niin testasin.","2","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Maistuu lähinnä pommacille","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Oudon makuisia.","2","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Ei mun makuun ja koostumuksesta en pitänyt","1","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Toimii kivasti 'jääpalana' juomassa.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Maku voisi olla hieman kirpeämpi.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Pikku isen petyin makuun,","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Ihan ok. Vähän mauton.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Kiitos. Toimitus tuli nopeasti.","2","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Kiva lahja skumpan kylkeen","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","En ole vielä maistanut.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi"
"placeholder","Maku ja koostumus ei miellytä, on kuin muussattua dominoa sisuksineen päivineen eikä kyllä toimi.","2","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Hyvia mutta kaipaan alkuperaisia domino minttuja","3","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Ihan okei. Ei todellakaan minun makuuni","3","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Maistuu vain vanhalta suklaalta","1","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Outo maku ei minun makuuni","2","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Vähän tylsää ja kuivaa","3","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Kuivakka ja outo maku,ei jatkoon.","1","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Erittäin hyvää suklaata","3","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Kuvittelin tuotteen keksimäisemmäksi, maku ihan ok","3","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Mauttomia keksejä","2","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Hieman liian kuiva","3","https://fi.fazer.com/collections/all/products/domino-bites-mint-choco-herkuttelukeksi-185g","fi"
"placeholder","Lakritsi ei ole hyvä, valitettavasti, liian samanlainen kuin yskänlääke, valitettavasti toinen on hyvä!","3","https://fi.fazer.com/collections/all/products/remix-favourites-karkkipussi-230g","fi"
"placeholder","Erittäin hyvä laukku","1","https://fi.fazer.com/collections/all/products/remix-favourites-karkkipussi-230g","fi"
"placeholder","Ei oikeastaan minun makuuni pienissä makeisissa","3","https://fi.fazer.com/collections/all/products/remix-favourites-karkkipussi-230g","fi"
"placeholder","Aika yksi totinen","3","https://fi.fazer.com/collections/all/products/remix-favourites-karkkipussi-230g","fi"
"placeholder","Perus irtokarkki vaikutelma","1","https://fi.fazer.com/collections/all/products/remix-favourites-karkkipussi-230g","fi"
"placeholder","Ei erikoinen mutta okei","3","https://fi.fazer.com/collections/all/products/remix-favourites-karkkipussi-230g","fi"
"placeholder","Pikkukirvelevät 0/5","1","https://fi.fazer.com/collections/all/products/remix-favourites-karkkipussi-230g","fi"
"placeholder","Olin tilannut suklaaboksin sitä varten että lapsi saa viedä sen lahjaksi lopetettuaan harjoittelun, mutta koska tuote saapui ilman suojapakkausta ja lähetysteipistä jäi todella ikävät jäljet, ei se ollut enää siisti lahjaksi annettavaksi. Kun annoin palautetta niin minulle vastattiin että asiasta on maininta ja pakkaus on lähinnä suojaamassa tuotetta. En löytänyt mistään tätä tietoa, ei siis ainakaan kovin selvästi ollut ilmoitettu. Enkä kyllä usko, että kukaan tilaa pelkkien patukoiden vuoksi mitkä saa huomattavasti halvemmalla kaupasta. Olin todella pettynyt, koska olin luottanut että brändinne on olla takuu laadukas. Viimeisen kerran tilaan Fazerilta.","1","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Boksi sinänsä oli tosi kiva, mutta iso miinus siitä, että tarkoitukseen suunniteltu ja kirjoitettu (ja ”tilattu”) viesti ei ollut paketissa mukana. Vastaanottaja oli pitkään ihmetellyt, keneltä moinen boxi tuli. Onneksi satuin kyselemään myöhemmin, että eikö ole tullut.","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","suklaapatukat sulannut, jakaja laittoi paketti postilaatikkoon auringossa. viesti tuli vain tunti ennen ja silloin olin töissä. boxi oli 5 tuntia sielä!","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Paketissa sinällään ei ollut moitteita mutta lupaamanne henkilökohtainen viesti ei ollut paketissa. Oli meille pettymys,oli vuosipäivä kihlauksestamme niin kirjoitin viestin hänelle vielä. Tilauksesta tuli vielä ilmoitus että kestää hiukan kauemmin koska tulee eri varastolta koska henkilöity. Asiakaspalvelijan jo kyseli mutta keskustelu jäi auki.","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Paketti olisi voinut olla hienompi ulkopuoleltakin.. ikävä antaa ruskea pahvilaatikko kuitilla lahjaksi :/ ja korttiinkin voisitte nähdä enemmän vaivaa kuin pienellä kirjoitettu teksti. Odotin parempaa mutta patukat olivat kuulemma hyviä.","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Toimitus oli jätetty kerrostalon pihalle, ilmeisesti ei oltu päästy rappuun sisälle. Vastaanottaja onneksi löysi sen ensimmäisenä ja ilahtui lahjasta.","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Suklaat oli jätetty postilaatikkoon 30 asteen helteellä, joten ne olivat ihan vellinä.","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Kesällä postilaatikkoon aurinkoisena päivänä, hieman, tai vähän enemmän, sulaneita siinä vaiheessa kun töistä tulin.","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Jos tilaan tuotteen Sipooseen en halua noutaa sitä Vantaalta minne minulla ei ole mitään muuta asiaa!","1","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Kauniisti pakatut tuotteet  laatikoihin, kiva antaa lahjaksi","1","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Petyin kun pakettitarra oli liimattu patukkaboksiin ja boksin teipit repesi kun tarran irroitin. Tilasin boksin lahjaksi ja nyt se ei ollut enään niin siisti mitä toivoin. Muutenkin pahvi oli kärsinyt postituksessa.","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Sisälsi ne tuotteet mitkä pitikin","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Jep,olen jo vastannutkin, että ihmettelen miten ystäväkampanja tuote toimitettiin 10pv ennen ko päivää.","1","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Kiitos paljon. Kaikki hyvin ja nopeasti perillle ja osa jo syöty, on niin hyvää Suomesta.","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Luulin että kaikki oli kaksi. Katsoin epähuomiossa väärin mitä pakkaus sisälsi","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Sopivat patukat pikku makeanhimoon, jokaiselle oma maku.","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Joidenkin patukoiden pinta oli valkoinen, esim. Fazerina.","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","katsoin patukkaboksin sisällön hhuonosti, sisälsi epätoivottuja patukoiya","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Monipuolinen","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Tuotteiden parasta ennen päiväykset olivat jo lokakuussa. Liian lyhyt aika lahjalle.","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Itse tuotteet ovat hyviä, mutta olikin pettymys, että patukoille ei ollutkaan omaa laatikkoa, vaan pelkkä postipakkaus. Luulin kuvan perusteella, että on kaunis vaaleanpunainen, ohuempaa pahvia oleva laatikko sisällä.","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Laskin, että jos ostaa ruokakaupasta samat patukat niiden yhteisarvo on 7,7 euro (k-kauppa), eli 2,3 euro veloitetaan aika tylsästä pahvilaatikosta, joka myös toimii postipakettina (eli postin tarrat kiinni..), sen lisäksi joutuu vielä maksaamaan postimaksua. Minun mielestä, jos ostetaan suoraan tuottajalta pitäisi saada vähän enemmän (ei välikäsiä).... sen takia ainoastaan 3 tähtiä, muuten idea on hyvä.","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Fami ja Susu puuttuivat. Sen sijaan laatikossa oli 2 x Kismet ja 2 x Sininen patukka. Melkoinen pettymys, kun juuri ne tärkeimmät puuttuivat. Oliko ihan pakko laittaa tilalle samanlaisia useammat, kun erilaisiakin Fazerilla on?","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Lähetin veljen pojalle nimipäivä lahjaksi patukka boxin. Tuotteeseen sai liittää tervehdys tekstin. Teksti oli ns. lähetysluottelossa, joka vahingossa huomattiin avata. Sisällä oli toki Fazerin oma erillinen kortti. Jos tuota lähetys listaa ei olisi vahingossa joku lukenut, ei vastaanottaja olisi saanut tervehdystäni, saatikka tietää keneltä lahja tuli. Lisäksi ihmetyttää miten ainoa toimitustapa on Posti? Postin on niin epäluotettava että on ihme mikään firma edes enää sitä käyttää.","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Vadelmajogurtti ja sitruunajogurtti patukat puuttui.","3","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
"placeholder","Miksi Fazer myy omia tuotteitaan kalliimmalla kuin mitä ne kaupassa maksaa?","1","https://fi.fazer.com/collections/all/products/patukkaboksi","fi"
