"otsikko","teksti","tahdet","url","kieli"
"Olen suhtautunut tähän asti epäilevästi tällaisiin laitteisiin"," mutta nyt omistajana olen tosi tyytyväinen hankintaan. Trimmerillä tekee siistiä jälkeä ja helposti. Laitteen rakenne on jämäkkä ja plussaa myös paristokäytöstä. Hinta/laatusuhde oli hankintahetkellä kohdillaan.""""","5","https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1","fi"
"Täysin käyttökelvoton. Terä on liian alhaalla ja pyörii muovisuojan sisällä joten ei pysty katkaisemaan karvoja. Huonolaatuinen ja täysin käyttökelvoton","1","https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1","fi",""
"Tekee mitä pitääkin"," hintansa väärti eritoten alennuksessa.""""","4","https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1","fi"
"Hiljainen ja tehokas trimmeri niihin aikuisen miehen näkyviin karvoihin - eli nenä ja korva.. Kun muualta alkaa karvantuotto vähenemään niin tuolla kasvaa ja nopeaan. Hearless ears - happy wife :D","4","https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1","fi",""
"Tällä trimmerillä saa hyvin nenäkarvoja leikattua ja ei satu eikä jää ylimääräisiä karvatuppoja jäljelle.","4","https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1","fi",""
"Muutaman viikon kokeilun perusteella voin todeta saaneeni sitä mitä tilasin pienellä rahalla","hoitaa asian niinkuin pitääkin""""","4","https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1","fi"
"Toimii hyvin"," plussaa että on suojus kun toinen halpa malli olisi ollut ilman suojusta. Patteri ei tule mukana""""","5","https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1","fi"
"Yksinkertaisesti laite ei toimi.Olen aikaisemmin käyttänyt halvempia ja toimivia vastaavia tuotteita.Heti alusta asti laitteessa kosketus häiriöitä","1","https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1","fi",""
"Se poistaa erittäin pitkät nenäkarvat.  Ja se jättää lyhyet karvat.","1","https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1","fi",""
"ihan mielettömän huono appi joka tekee täsmälleen saman tarinan vain eri sanoilla","1","https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1","fi",""
"Kirjoitin alkujaan ensimmäisenä olevan palautteen ja vehjettä testailtu kymmeniä kertoja eri päivinä joulun jälkeen ja lopulta sai jotenkin toimiin että puolikas lause tuli ja lopetti siihen. Nyt ennenkuin heitin nallen roskiin niin päätin vaihtaa paristot kun tunnetusti tyhjenee itsekseen ”uudet” piunpong patterit. Kuinka ollakkaan pienen säädön jälkeen lähti toimimaan. Jo aiemmin huomasin että poletit sai täyteen kun poisti ohjelman ja asensi uudelleen.","3","https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1","fi",""
"Viidellä puhelimella kokeiltu"," resetoitu tehdasasetukset ja jumiutui joka kerta tarinoita luodessaan. Tästä lelusta ei aiheutunut muuta kuin harmaita hiuksia ja pettymys lapselle kovan odotuksen jälkeen""""","1","https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1","fi"
"Ei toimi. Testattu os ja android. Yhden kerran saatiin tarina ja sekin kuraa. Jos saat toimimaan"," tietyn tarina määrän jälkeen joudut maksamaan lisää. Jätä tuote hyllyyn.""""","1","https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1","fi"
"Sovelluksen asentaminen kesti puoli päivää"," eikä silti toimi.""""","1","https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1","fi"
"Ei luo tarinoita loppuun. Odotetuin joululahja"," lapsella tuli itku kun joululahja ei toimi.""""","1","https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1","fi"
"Lapsen odotetuin lahja"," sovellus ei toimi ollenkaan !!!! Harmittaa että on tullut ostettua""""","1","https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=2","fi"
"Sovellus ei toimi mitenkään eikä millään laitteella. Täysin hyödytön ja todella harmi koska lapsi odotti kovasti joululahjaa.","1","https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=2","fi",""
"Isokin treeni pullo mahtuu joka on tosi hyvä. Joustava eli pitää napakkaasti kiinni pienemmistäkin pulloista.","5","https://www.verkkokauppa.com/fi/product/606184/CYBEX-mukinpidike-musta/reviews?page=1","fi",""
"Ostin Yale Linus 2 älylukkon pariksi niin että alakouluikäinen ja koirien lenkittäjät pääsevät siäsän. Kaikille kävijöille on mahdollisuus keksiä oma koodi. Sovelluksesta voi katsoa ketkä on käynyt ja mihin aikaan. Koodit voi desaktivoida ja muokata helposti ja nopeasti. Super hyvä ja edullinen vaihtoehto kokonaan vaihdettavaan älylukkoon.Ainoastaan koodin laittamisen jälkeen pitää hetki (2-3sec) odottaa että lukko avautuu. Jos laitettu monta kertaa peräkkäin väärät koodit"," se lukittuu ja voi yrittää uudestaan vain ajan päästä.""""","5","https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1","fi"
"Melkein voi sanoa että ehdoton tuon lukon kanssa helpottaa kovasti lukon käyttöä","5","https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1","fi",""
"Näppis toiminut noin vuoden. Ladattavat akkuparistot kestää noin 2-4 kk. Kesällä pidempään. Normaalit paristot kuluu noin 1-2 kuukaudessa. Hintaan odottaisi tukevaa ja kovaa muovia varsinkin kun kyse on turvalaitteesta ja lukosta. Laite on muovinen ja kevyt. Toivottavasti joskus tulee versio 2.","4","https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1","fi",""
"Käyttöönotto meni kivuttomasti ei ollut suurempia ongelmia.  2vko käytöllä toiminut niinkuin pitääkin. Äpsissä sai hetken pähkiä mistä pääsee muuttamaan koodin. Se löytyi vietaslista valikon alta ja joko kotiin liitetyt käyttäjät tai kutsu napilla tehtyä erillisen koodin.","5","https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1","fi",""
"Alkuperäinen patteri oli kuukauden käytön jälkeen vuotanut ja saanut näppäimistön epäkuntoon. En saanut toimimaan. Odottelen valmistajan ohjetta. Piti kuitenkin hakea uusi tilalle ja on liian kallis"," jos jatkuvasti joutuu uusimaan. Olisi muuten hyvä airbnb käytössä.""""","1","https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1","fi"
"Tarvitsin uuteen grilliin hyvän mittarin. Toimii hienosti ja helppokäyttöinen"," appi helppo""""","4","https://www.verkkokauppa.com/fi/product/356410/Weber-iGrill-mini-digitaalinen-paistolampomittari-bluetooth/reviews?page=1","fi"
"Todella helppo ottaa käyttöön ja toimii oikein hyvin. Weberin appi vaikuttaa myös sujuvalta.","5","https://www.verkkokauppa.com/fi/product/356410/Weber-iGrill-mini-digitaalinen-paistolampomittari-bluetooth/reviews?page=3","fi",""
"Näppärä pieni digitaalinen mittari"," helppo köyttää.""""","3","https://www.verkkokauppa.com/fi/product/356410/Weber-iGrill-mini-digitaalinen-paistolampomittari-bluetooth/reviews?page=5","fi"
"Hyvä tuote tekee sen minkä tarvitsee käyttöikä vaihtelee puolesta vuodesta vuoteen. Hehkutulppaan laitettu weber hintalisä","5","https://www.verkkokauppa.com/fi/product/674557/Weber-SmokeFire-hehkutulppa/reviews?page=1","fi",""
"Laite tukee vain wifi 2.4Ghz ja valittaa että routeristä täytyy 5Ghz wifi disabloida muuten verkkoa ei löydy.Ei löydä Wifi verkkoa sitten millään.","1","https://www.verkkokauppa.com/fi/product/873445/Aqara-Presence-Sensor-FP2-lasnaolotunnistin/reviews?page=1","fi",""
