otsikko,teksti,tahdet,url,kieli,lemmatized_text,mallin_ennuste
"Ströme vedenkeitin, musta",Sopii hyvin pieneen keittiööni. Nätin näköinen. Toimii hyvin.,5,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,"ströme vedenkeitti , musta sopii hyvin pieni keittiö . näti näköinen . toimi hyvin .",positiivinen
Edullinen perusvedenkeitin,"Täytenä hieman hidas, mutta edullinen ja hyvä laite!",4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,"edullinen perus#vedenkeitti täytenä hieman hidas , mutta edullinen ja hyvä laite !",positiivinen
Ajaa asiansa,"Edullinen, toimii ja positiivisesti poikkeaa halpistuotteista ulkonäöllisesti",5,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,"ajaa asia edullinen , toimia ja positiivisesti poikkea halpistuote ulko#näöllisesti",positiivinen
Musta vedenkeitin,Kevyt ja näppärä käyttää. Kaunis ulkonäkö ilo silmälle.,5,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,Musta vedenkeitti kevyt ja näppärä käyttää . kaunis ulko#näkö ilo silmä .,positiivinen
Vedenkeitin,"Hinta / laatusuhde ok. Toimii, niin kun pitääkin. Tehon säätöähän näissä halvoissa ei ole...",3,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,"vedenkeitti hinta / laatu#suhde ok . toimi , niin kun pitää . teho säätö tämä halvo ei olla ...",positiivinen
Ihan ok,Mielestäni ihan hyvä vedenkeitin hintaansa nähden. Ulkonäkökin ihan ok.,4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,ihan ok mieli ihan hyvä vedenkeitti hinta nähden . ulko#näkö ihan ok .,neutraali
Vedenkeitin,Hyvä vedenkeitin. Hieman hiljaisempi voisi olla. Hinta-laatu suhde kohdillaan.,4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,vedenkeitti hyvä vedenkeitti . hieman hiljainen voida olla . Hinta#laatu suhde kohta .,positiivinen
Toimiva vedenkeitin,Hoitaa hommansa. Hyvä hinta-laatu -suhde. Mukavan näköinen.,4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,toimiva vedenkeitti hoitaa homma . hyvä hinta#laatu suhde . mukava näköinen .,positiivinen
Toimii,"Vedenkeitin toimii kuten pitääkin. Hyvä hinta-laatusuhde, en odottanut ihmeitä.",4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,"toimi vedenkeitti toimia kuten pitää . hyvä hinta#laatu#suhde , ei odottaa ihme .",positiivinen
Rahansa arvoinen ostos,"Tarjoushinnalla oikein kelpo laite. Väriksi halusin mustaa, lisäplussaa olisi tullut mattapintaisesta väristä ja hillitymmästä ulkoasusta.",4,https://www.verkkokauppa.com/fi/product/884215/Strome-vedenkeitin-musta/reviews?page=1,fi,"raha arvoinen ostos tarjoushinta oikein kelpo laite . väriksi haluta musta , lisäplus#saa olla tulla matta#pintainen väri ja hilli#tymmä ulko#asu .",positiivinen
