otsikko,teksti,tahdet,url,kieli,mallin_ennuste
placeholder,"Skumppakuulat ovat mielestäni parempia kuin esim. Vihreät kuulat, sillä ne eivät ole ihan niin ylimakeita. Ne ovat itsenään syötyinä ihan okei, suht miellyttävän makuisia. Mutta jos ne vinkkien mukaan laittaa kuoharilasiin, niiden sokeri saa kuohuviinin maistumaan halvalta ja keinotekoiselta (olen koittanut niitä sekä halvemmassa että kalliimmassa kuohuviinissä)",3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,negatiivinen
placeholder,"Minulla oli luultavasti liian korkeat odotukset, pallot eivät olleet minua varten. En ole kokeillut vinkkiä pakastaa ne ja laittaa ne samppanjalasiin, mutta en näe, miten se tekisi mitään muuta kuin pilaisi samppanjan.",3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,"Kunpa siinä olisi lukenut ruotsiksi ""skumpakulor"" suomen sijaan! Koska aioin käyttää niitä ""lähtijälahjana"" (Ruotsissa), se olisi tuntunut juhlavammalta. Pallojen maku on ihan ok!",3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,neutraali
placeholder,Eivät maistuneet oikein miltään. Olisivat ehkä toimineet jääpaloina.,3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,Ei valitettavasti niin huomattava samppanjan maku,3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,negatiivinen
placeholder,"Nouto tosi kurja paikka Redi, nimittäin asun Kulosaaressa.Tilauksen saapumisilmoitus ruotsia ja mä olen suomenkielinen. Aina luulen, että se on huijausviesti.",3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,Vaahdon maku. Rusto.,2,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,Tarpeettoman kova,3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,negatiivinen
placeholder,maistuu seljanmarjalta eikä vaahdolta,2,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,"Luulin että nämä edelleen ""harvinaisia"" ja tilasin. Nyt niitä kuitenkin onkin lähikaupassa edullisempaan hintaan ja ilman postikuluja.",3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,Valitettavasti ei minun makuuni,2,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,negatiivinen
placeholder,"Vähän jäi ärsyttämään, kun ruokakaupasta olisi samaan rahaan saanut 3 rasiaa. Nyt toimituskuluineen oli 2 rasiaa maksoi saman verran.",2,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,"Olivat jäsenille ennakko, mutta samanapäivänä k-citymarketissa niitä myytiin. Hintakin oli 0,85e edullisempi. Huijattu olo!",2,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,Hieman yliarvostettu mielestäni.,3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,"Olin innoissani tuotteesta, koska glögikuula oli superhyvä. Skumppakuula on kyllä vähän liian makea :(",3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,"Maistuivat hyvälle,  mutta en kokenut että viilentävät juomaa mitenkään vaikka pakastin kuulat.",3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,neutraali
placeholder,Paljon puhuttu mutta en ollut oikein ihastunut tuotteeseen.Maistuu varmaan marmeladin ystäville.,3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,negatiivinen
placeholder,Liian söpö vaimoni mielestä!,3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
placeholder,"Luulin, että yllätän vaimon niillä, mutt samaan aikaan ne jo tulivatkin kauppoihin, harmi.",3,https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g,fi,positiivinen
