otsikko,teksti,tahdet,url,kieli
placeholder,helppo käyttää. hinta /laatu kohtaavat,3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,selkeät ohjelmat ja helppo valita. Olen erittäin tyytyväin ostamaani astianpesukoneeseen. Käytössä hyvin hiljainen.,5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hyvä pesutulos. Hieman äänekäs mutta pesutulos hyvä,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Hyvä peruskone. Ostin noin kuukausi sitten kesäasunnolle ja hyvin toimii. 40 minuutin pikaohjelma yllätti positiivisesti. Ainoa pikkuhaitta; mikään alakorin ritilöistä ei kaadu, kattiloiden asettelu vähän hankalampaa. Mutta erittäin hyvä pesutulos ja kaikin puolin ok.",4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Puhdasta tulee. Helppo täyttää ja tyhjentää.,5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hyvä astianpesukone. Noin 1kk käytössä vaikka alussa tiputti vettä vähän mutta nyt toimii moitteettomasti,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hinta laatu kohdallaan. Kuukauden käytön.jälkeen ollaan tyytyväisiä,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Toimii. Pesee puhtaaksi. Toimii niinkuin luvattiin.,5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Käypä peli mökille. Ostin koneen mökkikäyttöön. Useita ohjelmia, helppokäyttöinen. Aika äänekäs. Alataso olisi saanut olla tiheämpi jotta esim juomalasit yms pienemmät tavarat olisi helpompi laittaa alahyllylle.",4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Tarpeeksi hiljainen. Olen tyytyväinen ostokseeni,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Peruskone. Alussa luukun tiiviste vuosi, mutta kun tajusimme oikaista ruttuun menneen tiivisteen ongelma ratkesi.",3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Pettynyt. Myyjä olisi voinut mainita että koneeseen ei mahdu normaalit lautaset. Nyt pitää ostaa uudet lautasetkin, suututtaa!!!",1,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Kone oli edullinen. Kone on sisätiloiltaan ""ahtaampi"" kuin entinen Johtimien piikit ohuemmat ja ruokailuvälinekori vie paljon tilaa esim.ruokalautasilta.Tominnot selkeät ja onhelppokäyttöinen.hintavampi Kone olisi voinut olla käytännöllisempi.Kone on vähällä käytöllä,joten ihan ok.ostos.",3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Hinta laatu hyvä! Ihan perushyvä kone, jos et kaipaa mitään extra hienouksia. Pesuohjelmia löytyy monenlaisia ja pikaohjelmakin pesee puhtaaksi.",4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
