"otsikko","teksti","tahdet","url","kieli","tunne"
"Denver DVBC-120 HD  digiboksi osaavalle","Varmaan hintalaatu kohdallaan kun on niin halpa boksi, mutta en todellakaan suosittele tätä ellei omaa tietoteknistä osaamista ja ongelmanratkaisutaitoja…Ilman tätä arvostelujen vertaistukea kuva olisi jäänyt tulematta.Kaukosäädin aivan hirveä vekotin ja boksin reagointi painalluksiin kesti 1-10 sekuntia kerrallaan… eli en suosittele kenellekään mutta hyvät hermot on syytä olla sillä kuka tällä lähtee kuvaa yrittelemään.","4","https://www.verkkokauppa.com/fi/product/918427/Denver-DVBC-120-HD-digiboksi-kaapeliverkkoon/reviews?page=1","fi","positiivinen"
"placeholder","Tosi nopea. Noin viikko ennen juhannusta käyntiin. Nyt jo parissa viikossa ollut pitkään hyvillä lämmöillä ja massa hajoaa hurjaa vauhtia. Ulospäin hajuton, eikä pahaa hajua edes säiliössä. Helppo laittaa kuntoon, mutta nesteenpoiston säiliötä piti vähän miettiä. Kotitalouden jätemäärä puolittui. Roskasäiliö ei haise enää: tyhjennysvälin voi tuplata.","5","https://www.prisma.fi/tuotteet/100088384/biolan-pikakompostori-220eco-tummanharmaa-100088384","fi","positiivinen"
"Rollein harha-askel","Vanha ja arvostettu Rollei alittaa reippaasti odotukset niin mekaanisen laadun kuin ennen kaikkea kuvien laadun osalta. Kehystettyjen diojen syöttölaite aloitti muovisen kitinän jo parin sadan kuvan jälkeen. Laite on liian ahdas useimmille vanhoille Agfan ja Gepen muovisille lasikehyksille. Diojen siirtouloke on kovin ohut ja heiveröinen, joten pelkona on diojen kangerrellessa ulokkeen murtuminen. Hieman uudemmat ja ohuemmat muovi/lasikehykset sekä tietysti lasittomat muovi- ja pahvikehykset toimivat ongelmitta. Skanneri leikkaa ruudun pituudesta 2,5-3mm, mikä on varsin häiritsevää. RGB-säätöjen sijaan olisi kontrasti- ja gammasäätö todella paikallaan. Varsinkin kuvien tumma pää menee niin tukkoon, että lopputulos harvoja miellyttää.","2","https://www.verkkokauppa.com/fi/product/445865/Rollei-DF-S-310-SE-diakuva-ja-valokuvafilmiskanneri/reviews?page=1","fi","negatiivinen"
"Hyvä laite, huono softa","Kello tuli lapselle syntymäpäivälahjaksi. Innostus oli kova, mutta kello ei suostunut aktivoitumaan - sivustolla tehtävä aktivointivaihe kaatui aina maksun jälkeen, eikä tuotetta saatu käyttöön.Xploran tuki hoiti asian kuitenkin seuraavana arkipäivänä ripeästi kuntoon, ja kello saatiin käyttöön.Tämän jälkeen tuote on toiminut hienosti, ja itse kellon käyttäjä on tästä tykännyt.Eli kannattaa varautua, että käyttöönotto ei välttämättä mene kuten kuvitella saattaa.","3","https://www.verkkokauppa.com/fi/product/867091/Xplora-X6-Play-kellopuhelin-sininen/reviews?page=1","fi","neutraali"
"placeholder","Oli valitettavasti täysi pettymys tämä pussukka :(","1","https://fi.fazer.com/collections/all/products/remix-salmiakki-230g","fi","negatiivinen"
"placeholder","Tuotteiden parasta ennen päiväykset olivat jo lokakuussa. Liian lyhyt aika lahjalle.","2","https://fi.fazer.com/collections/all/products/patukkaboksi","fi","negatiivinen"
"Muuten hyvä, mutta rulla on liian herkkä","Hyvä perushiiri, mutta muuten hyvin toimiva rulla on liian herkkä ja scrollailee ajoittain itsestään. Logitechin ohjelmiston asentaminen ja asetusten säätäminen auttoi hieman ongelmaan. Ei siis voi varauksetta suositella.","3","https://www.verkkokauppa.com/fi/product/93930/Logitech-M705-hiiri/reviews?page=11","fi","neutraali"
"perus näppäimistö suihkuputsipullo","Ihan ok, tuntuu vaan että aine menee tooooooooodelllla nopeasti loppuun, mutta eipä oli sitäkään hinnasssa pilattu :) Ostan joka kerta kun Verkkokaupassa käyn!","4","https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6","fi","positiivinen"
"Toisen harjan laturi hajosi viikossa","Muuten kaikin puolin passeli tuote, mutta suureksi pettymyksekseni toinen lataus”telakoista” lakkasi toimimasta viikossa. Aiheuttaa pientä tervettä epäluuloisuutta tuotetta kohtaan.","3","https://www.verkkokauppa.com/fi/product/899974/Oclean-X-Pro-Digital-Duo-Set-Limited-Edition-sahkohammasharj/reviews?page=2","fi","neutraali"
"Ajaa asiansa, mutta...","Näytön sääti on tosi hankalaa. Se näytön eteepäinkallistus tehdään ruuvia kiristämällä, jonka jälkeen näyttön metalliosat antaa periksi ja se näyttö kallistuu eteenpäin siitä mihin kiristit sen. Eli samasta syystä, sitä näyttöä ei voi jälkisäätää avaamatta ruuveja. Ja säätö ei tosiaan pidä, koska metallivarret ja liitokset antaa periksi näytön painosta.","3","https://www.verkkokauppa.com/fi/product/385100/Mozi-Display-Desk-Mount-poytateline-naytolle/reviews?page=1","fi","neutraali"
"placeholder","Miellyttävä materiaali. Ostin ehkä liian suurikokoiset, mutta jatkossa osaan valita paremmiin.","5","https://www.prisma.fi/tuotteet/100086327/sloggi-maxi-basic-naisten-alushousut-3-pack-100086327","fi","positiivinen"
"Hammasvälisuihku","Kaikki eri tehokkuudet ovat liian kovia, ei tarpeeksi pienellä paineella vettä suihkuttavaa vaihtoehtoa.","3","https://www.verkkokauppa.com/fi/product/839554/Oclean-W10-hammasvalisuihku-vihrea/reviews?page=1","fi","neutraali"
"Ströme SPS-103T","Paljon vaihtoehtoja, hyvä niin, mutta säiliö on silti pakko täyttää joka päivä. Ja et pysty tallentaa sinun asetukset, eli niitä on pakko laittaa uusiksi joka päivä.","3","https://www.verkkokauppa.com/fi/product/790219/Strome-SPS-103T-ilmankostutin-harmaa/reviews?page=2","fi","neutraali"
"Tassutko kovat?","Vaikuttaa siltä, että tassut ovat enemmän pehmeähköä muovia kuin kumia. Ajavat silti asiansa. Aika näyttää miten lämpö ja tärinä vaikuttaa näihin tassuihin.","3","https://www.verkkokauppa.com/fi/product/118553/Kumitassut-pyykinpesukoneelle-4-kpl/reviews?page=7","fi","neutraali"
"placeholder","Paras kompostori. Ei voi olla kuin tyytyväinen.","5","https://www.prisma.fi/tuotteet/100088384/biolan-pikakompostori-220eco-tummanharmaa-100088384","fi","positiivinen"
"Laukun materiaali heikkoa","Tämä matkalaukku hajosi heti ensimmäisellä käyttökerralla. Pohjaan tuli 15 cm viilto eli rikki koko muovi. Täytyy kyllä muistaa, että lentoyhtiöt ei kyllä silkkihansikkain kohtele laukkuja, mutta silti oli vähän pettymys tämä ostos.","2","https://www.verkkokauppa.com/fi/product/233803/Feru-Pyramid-Peak-Classic-65-cm-matkalaukku-musta/reviews?page=15","fi","negatiivinen"
"placeholder","Hyvät ominaisuudet. Ostin kuukausi sitten ja olen pitänyt joka päivät alusasua","3","https://www.prisma.fi/tuotteet/100127567/house-naisten-pitkat-merinovilla-alushousut-100127567","fi","neutraali"
"placeholder","Eivät maistuneet oikein miltään. Olisivat ehkä toimineet jääpaloina.","3","https://fi.fazer.com/collections/all/products/fazer-skumppakuulat-makeisrasia-260g","fi","neutraali"
"Ihan kiva","Kivan siro. Helppo ottaa käyttöön. Vielä hieman vähän käytetty, joten hankala arvostella täysin. Jotta TV:ltä tuleva ääni olisi tarpeeksi kovalla, tuntuu, että laitteen äänet joutuu säätämään kaakkoon.","3","https://www.verkkokauppa.com/fi/product/887014/ProCaster-Upbeat-karaokekaiutin-kahdella-mikrofonilla/reviews?page=2","fi","neutraali"
"placeholder","Maku ja koostumus ei miellytä, on kuin muussattua dominoa sisuksineen päivineen eikä kyllä toimi.","2","https://fi.fazer.com/collections/all/products/domino-bites-choco-vanilla-herkuttelukeksi-185g","fi","negatiivinen"
"placeholder","Miellyttävät ominaisuudet. Housujen koko on vaikea arvioida, koska kudos tuntuu kuitenkin melko tiukalta. Tulee valinneeksi helposti numeroa liian pienet housut.","3","https://www.prisma.fi/tuotteet/100086327/sloggi-maxi-basic-naisten-alushousut-3-pack-100086327","fi","neutraali"
"Edullinen ketjutettava","Ihan kohtuuhintainen varoitin, kun ottaa huomioon langattoman ketjutettavuuden. Hankin 8 kpl jotta saadaan kattava suoja kolmeen eri kerrokseen. Ensivaikutelman perusteella asiallisen oloinen laite, mutta käyttöohjetta ei voi kyllä kehua. Muille päätä seinään hakkaaville tiedoksi, että paritusvaiheessa vihreän ledin saa palamaan painamalla opetuspainiketta kahdesti. Tätä ei ohjekirjasta löydy vaikka kuinka tarkasti lukee...","4","https://www.verkkokauppa.com/fi/product/450080/Airam-KD-101LE-optinen-palovaroitin-ketjutettava/reviews?page=1","fi","positiivinen"
"placeholder","ihan ok oli","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi","negatiivinen"
"placeholder","Sloggi Maxi Hasic naisten alushousut, mainiot! Olen käyttänyt Sloggi Maxi Basic naisten alushousuja useita vuosia, sekä mustia, valoisa että beesin värisiä. Suosikkini ovat mustat. Pidän nimenomaan Sloggi Maxi- mallista, joka ulottuu vyötärölle asti. En henkilökohtaisesti pidä lantiomallista. Havaintoni mukaan Sloggi- housut ovat varsin hyvin kulutusta kestävät ja miellyttävät iholla.","5","https://www.prisma.fi/tuotteet/100086327/sloggi-maxi-basic-naisten-alushousut-3-pack-100086327","fi","positiivinen"
"Villakoirille kyytiä!","Tornimalliseen tietkoneeseen alkaa ajan saatossa kertyä pölyä melkoisesti. Koteloa avatessa tulee fiilis kuin arkeologilla joka ensimmäisenä ihmisenä tuhansiin vuosiin pääsee tutkimaan muinaista hautakammiota. Mitähän jänniä äärteita pölykerrosten alta mahtaa löytyä?Onneksi Mr. Muskelknutte antaa pölylle kyytiä niin, että harmaat villakoirta lentää ja pinttynyt pöly pölysee huoneilmaa rikastuttamassa. Kotelon komponenttiaarteet paljastuvat pölykerrosten alta kuin fossiloituneet dinosauruksen luut hiekasta ammattimaisen arkeologin käsissä.","5","https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6","fi","positiivinen"
"Hyvä kuva","Tv tyylikäs ja hyvä kuva ja selkeä tekstitys. Ainoa miinus siitä, ettei Areena ollut asennettu valmiiksi. Eli vaatii rekistöitymistä google play tiliasiakkaaksi. Sen jälkeen Areenan lataus onnistuisi. En halua antaa tietojanirekisteriin eikä huvita antaa googlelle lupaa kerätä tietoja, joten Areena jäi lataamatta.","3","https://www.verkkokauppa.com/fi/product/834928/ProCaster-43SL901H-43-4K-Android-LED-TV/reviews?page=11","fi","neutraali"
