otsikko;teksti;tunne
;Ostin hyvästä tarjouksesta pesukoneen asennuksineen ja kuljetuksineen. Koko homma toimi hienosti ja pesukone on helppokäyttöinen sekä riittävän iso pyykkivuorelle, jota kertyy aina koriin.;
;Ensimmäiset viikot pyykätty ja tuntuisi olevan meidän tarpeisiin kone kohdallaan. Iso rumpu ja hyvä linkous nopeus. Huomattavasti hiljaisempi kuin aikaisempi Serie 6 sarjan koneemme.;
;Onhan näissä koneissa eroa kun ostaa 300€ koneen tilalle +500€ vehkeen. Toimii moitteettomasti ja ei rätise eikä pidä melkein mitään ääntä, joka häiritsisi. Ainoa asia mikä on ärsyttänyt, on että lapsilukko ei ole toiminut kovinkaan hyvin. 19kk nuori poika keksi aika nopeasti miten poistaa lukon ja vaihtaa ohjelmaa 😂;
;Vasta kaksi kertaa käytetty: mix -ohjelma ja lyhennetty 60 astetta-> toimii. Jossain vaiheessa joku naksahdus oli yllättävä, hiljainen linkous, kuuluva korkea äänimerkki ohjelman loputtua, kunnolla luettu käyttöohje takaa sujuvan käytön.;
;"Hommattiin pari viikkoa sitten ja oikeastaan siitä lähtien ollut päivittäisessä käytössä. Tuntuu toimivan kuten on syytä olettaa. Bosch ja Siemens ovat molemmat BSH:n brändejä joten kone on Siemensiä pesukonetta aiemmin käyttäneelle melkeinpä samanlainen. Perusohjelmilla mennään, erikoisohjelmia ei ole pahemmin käytetty. Toivoisin että koneet kestäisivät enemmän kuin 7 vuotta ennen kuin niihin tulee ongelmia. ;) Hintaansa nähden hyvä hankinta, taisi ostohetkellä olla 379 euroa.";
;Ostin 10 päivää ( melkein) sitten. Hyvin menee. Joka päivää käytössä koska perheessä löytyy urheilijat😅 Ihan mitä me tarvitsemme sitä löytyy:) Kiitos;
;Ostin tämän 2viikkoa sitten ja olen pitänyt imurista todella paljon ja todella hyödyllinen ja helppokäyttöinen.;
;Olen käyttänyt tuotetta nyt parin viikon ajan ja olen tosi tyytyväinen. Kestävä akku, monipuoliset tarvikkeet ja tehokas käytössä.;
;Muutaman vuoden ikäinen tv lopetti äkisti toiminnan joten päädyin ostamaan uuden ja vertailun voitti tämä 55 tuuman philips joka oli edullinen.Viikon kokemuksen pohjalta laite toimii hyvin ja kuvanlaatu on oikein hyvä.;
;Sen helppokäyttöisyys on ollut iloinen yllätys. Lisäksi se pesee hyvin puhtaiksi astiat.;
;mukavan helppokäyttöinen toimiva laite ilman ylimääräisiä ominaisuuksia.;
;Astianpesukone on hiljainen ja toimii hyvin. Ei valitettavaa;
;Toimituksessa viive ja siitä hyvitys. Palvelu erinomaista ja toimitus ja asennus myös kävi sujuvasti. Tyytyväinen palveluun ja tiskikoneen toimii hyvin. Iloinen siitä että voi pestä nopean pesun puolessa tunnissa! Aika vahva haju koneessa aluksi, toki se varman haihtuu pian pois.;
;Ollaan tyytyväisiä hyvä kone. Ainut pikku miinus on ääni voisi olla hiljaisempi mutta ei häiritsevä. Suositellaan.;
;Hyvä perus kone. Vähän pitkät pesuajat mut onneks saa säädettyä;
