otsikko,teksti,tahdet,url,kieli,tunne
Taattua Ströme-laatua,"Poistohinnalla ostin, eli hinta-laatusuhde kohdillaan, tekee tehtävänsä moitteetta. Helppo käyttää.",5,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,positiivinen
Näppärä laite,"Olen suhtautunut tähän asti epäilevästi tällaisiin laitteisiin, mutta nyt omistajana olen tosi tyytyväinen hankintaan. Trimmerillä tekee siistiä jälkeä ja helposti. Laitteen rakenne on jämäkkä ja plussaa myös paristokäytöstä. Hinta/laatusuhde oli hankintahetkellä kohdillaan.",5,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,positiivinen
Tekee mitä lupaakin,"Helppo käyttää ja hyvin käteen sopivan kokoinen, joka auttaa tarkkuuden kanssa :)",4,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,positiivinen
"3,99 oli hyvä hinta!","Ihan jees laite, en maksaisi kymppiä kylläkään. Parempi ku edellinen Temu halpistuote, mutta ei paljolla!",3,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,neutraali
Ihan täys paske,"Ei leikkaa oikeen mitään ja kuumenee hetkessä, ihan täys romu ja kusetusta koko laite",1,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,negatiivinen
halvalla sai,"pörisee, muttei tee oikein mitäänoli tarjouksessa, joten päätin kokeilla",2,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,negatiivinen
Älä osta ihan roskaa,Täysin käyttökelvoton. Terä on liian alhaalla ja pyörii muovisuojan sisällä joten ei pysty katkaisemaan karvoja. Huonolaatuinen ja täysin käyttökelvoton,1,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,negatiivinen
Toimii juuri ja juuri,"Toimii juuri ja juuri. 3,99€ hintaan ostettu, joten ei harmita. Melko lelu josta 10€ on liikaa.",2,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,negatiivinen
Hinta/laatu hyvä,"Tekee mitä pitääkin, hintansa väärti eritoten alennuksessa.",4,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,positiivinen
Ei toimi,"Taisin ottaa nämä mukaan saadakseni jonkin alennuksen, ilmaisen kuljetuksen, en muista. Kokeilin mielenkiinnolla, eikä tämä laite oikein tee mitään.",1,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,negatiivinen
Heh,Leikkaa ja repii vuorotellen. Ei ehkä laadukkain mutta myös halvin,3,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,neutraali
Ok,"Ihan, ok. Eikai halvalla parempaa saa...  Toimiva laite, joten hintansa veroinen.",2,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,negatiivinen
Ströme hygieniatrimmeri,Hiljainen ja tehokas trimmeri niihin aikuisen miehen näkyviin karvoihin - eli nenä ja korva.. Kun muualta alkaa karvantuotto vähenemään niin tuolla kasvaa ja nopeaan. Hearless ears - happy wife :D,4,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,positiivinen
Toimii,Tällä trimmerillä saa hyvin nenäkarvoja leikattua ja ei satu eikä jää ylimääräisiä karvatuppoja jäljelle.,4,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,positiivinen
Ihan ok trimmeri,"Vähän heppoisen oloinen, mutta hintansa väärti laite.",4,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,positiivinen
Vastinetta rahalle edullisesti,"Muutaman viikon kokeilun perusteella voin todeta saaneeni sitä mitä tilasin pienellä rahalla,hoitaa asian niinkuin pitääkin",4,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,positiivinen
Käyttökelvoton,"Terä on korkealla, ettei se edes leikkaa alle puolen sentin pituisia karvoja. Roskiin meni yhden käyttökerran jälkeen.",1,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,negatiivinen
Toimii,"Toimii hyvin, plussaa että on suojus kun toinen halpa malli olisi ollut ilman suojusta. Patteri ei tule mukana",5,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,positiivinen
Älä osta,Yksinkertaisesti laite ei toimi.Olen aikaisemmin käyttänyt halvempia ja toimivia vastaavia tuotteita.Heti alusta asti laitteessa kosketus häiriöitä,1,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,negatiivinen
ei hyvä,Se poistaa erittäin pitkät nenäkarvat.  Ja se jättää lyhyet karvat.,1,https://www.verkkokauppa.com/fi/product/670384/Strome-ES229-hygieniatrimmeri/reviews?page=1,fi,negatiivinen
puppugeneraattori,ihan mielettömän huono appi joka tekee täsmälleen saman tarinan vain eri sanoilla,1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
